# ====================================
# NWChem linear response TDDFT parser 
# ====================================
#
# Date NWChem run : Tue Nov 16 10:00:59 2010
# NWChem branch   : 6.0
# Input deck      : h2o.nw
#
# Linear response TDDFT spectrum.
# Roots were artificially broadened by 1.00000e-01 eV.
#
#  Energy [eV]      Oscil. str.
#----------------------------------
 1.54278083e+01    3.99896447e-04
 1.54762954e+01    3.65784086e-04
 1.55247826e+01    3.36653509e-04
 1.55732697e+01    3.11644005e-04
 1.56217568e+01    2.90079796e-04
 1.56702440e+01    2.71425222e-04
 1.57187311e+01    2.55252226e-04
 1.57672183e+01    2.41216468e-04
 1.58157054e+01    2.29039561e-04
 1.58641926e+01    2.18495742e-04
 1.59126797e+01    2.09401794e-04
 1.59611668e+01    2.01609383e-04
 1.60096540e+01    1.94999226e-04
 1.60581411e+01    1.89476671e-04
 1.61066283e+01    1.84968382e-04
 1.61551154e+01    1.81419933e-04
 1.62036025e+01    1.78794134e-04
 1.62520897e+01    1.77070036e-04
 1.63005768e+01    1.76242522e-04
 1.63490640e+01    1.76322505e-04
 1.63975511e+01    1.77337733e-04
 1.64460382e+01    1.79334297e-04
 1.64945254e+01    1.82378927e-04
 1.65430125e+01    1.86562291e-04
 1.65914997e+01    1.92003540e-04
 1.66399868e+01    1.98856503e-04
 1.66884740e+01    2.07318083e-04
 1.67369611e+01    2.17639655e-04
 1.67854482e+01    2.30142675e-04
 1.68339354e+01    2.45240217e-04
 1.68824225e+01    2.63467127e-04
 1.69309097e+01    2.85522817e-04
 1.69793968e+01    3.12333108e-04
 1.70278839e+01    3.45141332e-04
 1.70763711e+01    3.85645573e-04
 1.71248582e+01    4.36210676e-04
 1.71733454e+01    5.00205294e-04
 1.72218325e+01    5.82555545e-04
 1.72703196e+01    6.90689615e-04
 1.73188068e+01    8.36222004e-04
 1.73672939e+01    1.03811706e-03
 1.74157811e+01    1.32901284e-03
 1.74642682e+01    1.76885666e-03
 1.75127554e+01    2.47719579e-03
 1.75612425e+01    3.71923671e-03
 1.76097296e+01    6.17236924e-03
 1.76582168e+01    1.19145753e-02
 1.77067039e+01    2.84090644e-02
 1.77551911e+01    6.18883948e-02
 1.78036782e+01    3.71297350e-02
 1.78521653e+01    1.48226491e-02
 1.79006525e+01    7.27107708e-03
 1.79491396e+01    4.22349016e-03
 1.79976268e+01    2.74195732e-03
 1.80461139e+01    1.92031464e-03
 1.80946010e+01    1.41995648e-03
 1.81430882e+01    1.09352085e-03
 1.81915753e+01    8.69060381e-04
 1.82400625e+01    7.08209026e-04
 1.82885496e+01    5.89039213e-04
 1.83370368e+01    4.98299639e-04
 1.83855239e+01    4.27607140e-04
 1.84340110e+01    3.71451671e-04
 1.84824982e+01    3.26092464e-04
 1.85309853e+01    2.88918410e-04
 1.85794725e+01    2.58062514e-04
 1.86279596e+01    2.32161413e-04
 1.86764467e+01    2.10200834e-04
 1.87249339e+01    1.91413633e-04
 1.87734210e+01    1.75210933e-04
 1.88219082e+01    1.61134643e-04
 1.88703953e+01    1.48824088e-04
 1.89188824e+01    1.37992170e-04
 1.89673696e+01    1.28408052e-04
 1.90158567e+01    1.19884430e-04
 1.90643439e+01    1.12268032e-04
 1.91128310e+01    1.05432451e-04
 1.91613182e+01    9.92726844e-05
 1.92098053e+01    9.37009194e-05
 1.92582924e+01    8.86432609e-05
 1.93067796e+01    8.40371608e-05
 1.93552667e+01    7.98293864e-05
 1.94037539e+01    7.59744002e-05
 1.94522410e+01    7.24330599e-05
 1.95007281e+01    6.91715675e-05
 1.95492153e+01    6.61606147e-05
 1.95977024e+01    6.33746837e-05
 1.96461896e+01    6.07914722e-05
 1.96946767e+01    5.83914175e-05
 1.97431638e+01    5.61573007e-05
 1.97916510e+01    5.40739171e-05
 1.98401381e+01    5.21277984e-05
 1.98886253e+01    5.03069791e-05
 1.99371124e+01    4.86007993e-05
 1.99855996e+01    4.69997364e-05
 2.00340867e+01    4.54952622e-05
 2.00825738e+01    4.40797202e-05
 2.01310610e+01    4.27462205e-05
 2.01795481e+01    4.14885490e-05
 2.02280353e+01    4.03010894e-05
 2.02765224e+01    3.91787552e-05
 2.03250095e+01    3.81169305e-05
 2.03734967e+01    3.71114186e-05
 2.04219838e+01    3.61583974e-05
 2.04704710e+01    3.52543796e-05
 2.05189581e+01    3.43961782e-05
 2.05674452e+01    3.35808761e-05
 2.06159324e+01    3.28057992e-05
 2.06644195e+01    3.20684926e-05
 2.07129067e+01    3.13666994e-05
 2.07613938e+01    3.06983421e-05
 2.08098810e+01    3.00615060e-05
 2.08583681e+01    2.94544242e-05
 2.09068552e+01    2.88754642e-05
 2.09553424e+01    2.83231166e-05
 2.10038295e+01    2.77959837e-05
 2.10523167e+01    2.72927706e-05
 2.11008038e+01    2.68122760e-05
 2.11492909e+01    2.63533851e-05
 2.11977781e+01    2.59150621e-05
 2.12462652e+01    2.54963441e-05
 2.12947524e+01    2.50963357e-05
 2.13432395e+01    2.47142033e-05
 2.13917266e+01    2.43491706e-05
 2.14402138e+01    2.40005147e-05
 2.14887009e+01    2.36675620e-05
 2.15371881e+01    2.33496844e-05
 2.15856752e+01    2.30462968e-05
 2.16341624e+01    2.27568535e-05
 2.16826495e+01    2.24808462e-05
 2.17311366e+01    2.22178009e-05
 2.17796238e+01    2.19672764e-05
 2.18281109e+01    2.17288619e-05
 2.18765981e+01    2.15021753e-05
 2.19250852e+01    2.12868613e-05
 2.19735723e+01    2.10825904e-05
 2.20220595e+01    2.08890571e-05
 2.20705466e+01    2.07059787e-05
 2.21190338e+01    2.05330942e-05
 2.21675209e+01    2.03701635e-05
 2.22160080e+01    2.02169662e-05
 2.22644952e+01    2.00733006e-05
 2.23129823e+01    1.99389835e-05
 2.23614695e+01    1.98138490e-05
 2.24099566e+01    1.96977482e-05
 2.24584438e+01    1.95905485e-05
 2.25069309e+01    1.94921333e-05
 2.25554180e+01    1.94024015e-05
 2.26039052e+01    1.93212673e-05
 2.26523923e+01    1.92486595e-05
 2.27008795e+01    1.91845222e-05
 2.27493666e+01    1.91288135e-05
 2.27978537e+01    1.90815063e-05
 2.28463409e+01    1.90425879e-05
 2.28948280e+01    1.90120600e-05
 2.29433152e+01    1.89899389e-05
 2.29918023e+01    1.89762556e-05
 2.30402894e+01    1.89710559e-05
 2.30887766e+01    1.89744006e-05
 2.31372637e+01    1.89863663e-05
 2.31857509e+01    1.90070449e-05
 2.32342380e+01    1.90365449e-05
 2.32827252e+01    1.90749915e-05
 2.33312123e+01    1.91225273e-05
 2.33796994e+01    1.91793127e-05
 2.34281866e+01    1.92455273e-05
 2.34766737e+01    1.93213698e-05
 2.35251609e+01    1.94070600e-05
 2.35736480e+01    1.95028391e-05
 2.36221351e+01    1.96089709e-05
 2.36706223e+01    1.97257437e-05
 2.37191094e+01    1.98534710e-05
 2.37675966e+01    1.99924935e-05
 2.38160837e+01    2.01431807e-05
 2.38645708e+01    2.03059328e-05
 2.39130580e+01    2.04811829e-05
 2.39615451e+01    2.06693992e-05
 2.40100323e+01    2.08710878e-05
 2.40585194e+01    2.10867951e-05
 2.41070066e+01    2.13171114e-05
 2.41554937e+01    2.15626740e-05
 2.42039808e+01    2.18241712e-05
 2.42524680e+01    2.21023465e-05
 2.43009551e+01    2.23980031e-05
 2.43494423e+01    2.27120094e-05
 2.43979294e+01    2.30453045e-05
 2.44464165e+01    2.33989046e-05
 2.44949037e+01    2.37739103e-05
 2.45433908e+01    2.41715145e-05
 2.45918780e+01    2.45930111e-05
 2.46403651e+01    2.50398053e-05
 2.46888522e+01    2.55134243e-05
 2.47373394e+01    2.60155300e-05
 2.47858265e+01    2.65479332e-05
 2.48343137e+01    2.71126094e-05
 2.48828008e+01    2.77117165e-05
 2.49312880e+01    2.83476154e-05
 2.49797751e+01    2.90228927e-05
 2.50282622e+01    2.97403874e-05
 2.50767494e+01    3.05032202e-05
 2.51252365e+01    3.13148279e-05
 2.51737237e+01    3.21790025e-05
 2.52222108e+01    3.30999364e-05
 2.52706979e+01    3.40822739e-05
 2.53191851e+01    3.51311716e-05
 2.53676722e+01    3.62523676e-05
 2.54161594e+01    3.74522628e-05
 2.54646465e+01    3.87380156e-05
 2.55131337e+01    4.01176525e-05
 2.55616208e+01    4.16001989e-05
 2.56101079e+01    4.31958334e-05
 2.56585951e+01    4.49160708e-05
 2.57070822e+01    4.67739802e-05
 2.57555694e+01    4.87844462e-05
 2.58040565e+01    5.09644836e-05
 2.58525436e+01    5.33336169e-05
 2.59010308e+01    5.59143433e-05
 2.59495179e+01    5.87326982e-05
 2.59980051e+01    6.18189510e-05
 2.60464922e+01    6.52084677e-05
 2.60949793e+01    6.89427871e-05
 2.61434665e+01    7.30709724e-05
 2.61919536e+01    7.76513247e-05
 2.62404408e+01    8.27535710e-05
 2.62889279e+01    8.84616860e-05
 2.63374151e+01    9.48775658e-05
 2.63859022e+01    1.02125863e-04
 2.64343893e+01    1.10360420e-04
 2.64828765e+01    1.19772947e-04
 2.65313636e+01    1.30604869e-04
 2.65798508e+01    1.43163770e-04
 2.66283379e+01    1.57846563e-04
 2.66768250e+01    1.75172768e-04
 2.67253122e+01    1.95833267e-04
 2.67737993e+01    2.20763344e-04
 2.68222865e+01    2.51254976e-04
 2.68707736e+01    2.89134441e-04
 2.69192607e+01    3.37052689e-04
 2.69677479e+01    3.98978383e-04
 2.70162350e+01    4.81072950e-04
 2.70647222e+01    5.93326826e-04
 2.71132093e+01    7.52816181e-04
 2.71616965e+01    9.90696501e-04
 2.72101836e+01    1.36870114e-03
 2.72586707e+01    2.02295870e-03
 2.73071579e+01    3.29926621e-03
 2.73556450e+01    6.25343429e-03
 2.74041322e+01    1.46691134e-02
 2.74526193e+01    3.18822599e-02
 2.75011064e+01    1.95936624e-02
 2.75495936e+01    8.44980824e-03
 2.75980807e+01    5.25512979e-03
 2.76465679e+01    5.52658703e-03
 2.76950550e+01    9.81892604e-03
 2.77435421e+01    9.11937218e-03
 2.77920293e+01    3.96792046e-03
 2.78405164e+01    2.06112484e-03
 2.78890036e+01    1.29656306e-03
 2.79374907e+01    9.18630675e-04
 2.79859779e+01    7.02859235e-04
 2.80344650e+01    5.67606848e-04
 2.80829521e+01    4.77565713e-04
 2.81314393e+01    4.15378110e-04
 2.81799264e+01    3.71677362e-04
 2.82284136e+01    3.41065681e-04
 2.82769007e+01    3.20303145e-04
 2.83253878e+01    3.07422947e-04
 2.83738750e+01    3.01275303e-04
 2.84223621e+01    3.01289346e-04
 2.84708493e+01    3.07358730e-04
 2.85193364e+01    3.19809456e-04
 2.85678235e+01    3.39436581e-04
 2.86163107e+01    3.67616628e-04
 2.86647978e+01    4.06524412e-04
 2.87132850e+01    4.59516650e-04
 2.87617721e+01    5.31807709e-04
 2.88102593e+01    6.31693291e-04
 2.88587464e+01    7.72869904e-04
 2.89072335e+01    9.79104376e-04
 2.89557207e+01    1.29437355e-03
 2.90042078e+01    1.80707305e-03
 2.90526950e+01    2.71519353e-03
 2.91011821e+01    4.53074555e-03
 2.91496692e+01    8.84814542e-03
 2.91981564e+01    2.13902717e-02
 2.92466435e+01    4.39463365e-02
 2.92951307e+01    2.42023464e-02
 2.93436178e+01    9.77614048e-03
 2.93921049e+01    4.87357804e-03
 2.94405921e+01    2.86297314e-03
 2.94890792e+01    1.87375041e-03
 2.95375664e+01    1.32034250e-03
 2.95860535e+01    9.81091480e-04
 2.96345407e+01    7.58582115e-04
 2.96830278e+01    6.04896435e-04
 2.97315149e+01    4.94332253e-04
 2.97800021e+01    4.12130482e-04
 2.98284892e+01    3.49337064e-04
 2.98769764e+01    3.00268665e-04
 2.99254635e+01    2.61179071e-04
 2.99739506e+01    2.29518538e-04
 3.00224378e+01    2.03503250e-04
 3.00709249e+01    1.81855080e-04
 3.01194121e+01    1.63638866e-04
 3.01678992e+01    1.48157622e-04
 3.02163863e+01    1.34883262e-04
 3.02648735e+01    1.23409733e-04
 3.03133606e+01    1.13420647e-04
 3.03618478e+01    1.04666499e-04
 3.04103349e+01    9.69483674e-05
 3.04588221e+01    9.01060667e-05
 3.05073092e+01    8.40094175e-05
 3.05557963e+01    7.85517291e-05
 3.06042835e+01    7.36448784e-05
 3.06527706e+01    6.92155505e-05
 3.07012578e+01    6.52023405e-05
