# ====================================
# NWChem linear response TDDFT parser 
# ====================================
#
# Date NWChem run : Tue Nov 16 13:50:39 2010
# NWChem branch   : 6.0
# Input deck      : 2h2o.nw
#
# Linear response TDDFT spectrum.
# Roots were artificially broadened by 1.00000e-01 eV.
#
#  Energy [eV]      Oscil. str.
#----------------------------------
 9.56238389e+00    1.99480260e-04
 9.57768640e+00    1.76588003e-04
 9.59298891e+00    1.58852332e-04
 9.60829142e+00    1.44974167e-04
 9.62359392e+00    1.34050249e-04
 9.63889643e+00    1.25445615e-04
 9.65419894e+00    1.18713256e-04
 9.66950145e+00    1.13543923e-04
 9.68480396e+00    1.09736434e-04
 9.70010646e+00    1.07183528e-04
 9.71540897e+00    1.05871767e-04
 9.73071148e+00    1.05896790e-04
 9.74601399e+00    1.07496957e-04
 9.76131650e+00    1.11103984e-04
 9.77661900e+00    1.17376581e-04
 9.79192151e+00    1.27045755e-04
 9.80722402e+00    1.40012919e-04
 9.82252653e+00    1.52962663e-04
 9.83782904e+00    1.58210853e-04
 9.85313154e+00    1.51396915e-04
 9.86843405e+00    1.38193782e-04
 9.88373656e+00    1.25776822e-04
 9.89903907e+00    1.16697638e-04
 9.91434158e+00    1.10753365e-04
 9.92964408e+00    1.07140990e-04
 9.94494659e+00    1.05173949e-04
 9.96024910e+00    1.04378434e-04
 9.97555161e+00    1.04446297e-04
 9.99085412e+00    1.05179812e-04
 1.00061566e+01    1.06452163e-04
 1.00214591e+01    1.08182216e-04
 1.00367616e+01    1.10318893e-04
 1.00520641e+01    1.12831522e-04
 1.00673667e+01    1.15703838e-04
 1.00826692e+01    1.18930233e-04
 1.00979717e+01    1.22513409e-04
 1.01132742e+01    1.26462951e-04
 1.01285767e+01    1.30794496e-04
 1.01438792e+01    1.35529341e-04
 1.01591817e+01    1.40694355e-04
 1.01744842e+01    1.46322164e-04
 1.01897867e+01    1.52451550e-04
 1.02050892e+01    1.59128076e-04
 1.02203917e+01    1.66404936e-04
 1.02356942e+01    1.74344058e-04
 1.02509968e+01    1.83017511e-04
 1.02662993e+01    1.92509260e-04
 1.02816018e+01    2.02917369e-04
 1.02969043e+01    2.14356761e-04
 1.03122068e+01    2.26962689e-04
 1.03275093e+01    2.40895122e-04
 1.03428118e+01    2.56344343e-04
 1.03581143e+01    2.73538133e-04
 1.03734168e+01    2.92751094e-04
 1.03887193e+01    3.14316863e-04
 1.04040218e+01    3.38644298e-04
 1.04193243e+01    3.66239201e-04
 1.04346268e+01    3.97733847e-04
 1.04499294e+01    4.33927730e-04
 1.04652319e+01    4.75844653e-04
 1.04805344e+01    5.24814081e-04
 1.04958369e+01    5.82589183e-04
 1.05111394e+01    6.51521398e-04
 1.05264419e+01    7.34823787e-04
 1.05417444e+01    8.36976401e-04
 1.05570469e+01    9.64362219e-04
 1.05723494e+01    1.12628009e-03
 1.05876519e+01    1.33656703e-03
 1.06029544e+01    1.61614899e-03
 1.06182569e+01    1.99673025e-03
 1.06335595e+01    2.52461739e-03
 1.06488620e+01    3.25792087e-03
 1.06641645e+01    4.23108751e-03
 1.06794670e+01    5.33077893e-03
 1.06947695e+01    6.13253089e-03
 1.07100720e+01    6.17700476e-03
 1.07253745e+01    5.64322655e-03
 1.07406770e+01    5.09877668e-03
 1.07559795e+01    4.87631239e-03
 1.07712820e+01    5.07399706e-03
 1.07865845e+01    5.74349803e-03
 1.08018870e+01    6.97938634e-03
 1.08171895e+01    8.91641623e-03
 1.08324921e+01    1.15801117e-02
 1.08477946e+01    1.44291968e-02
 1.08630971e+01    1.59309446e-02
 1.08783996e+01    1.48152552e-02
 1.08937021e+01    1.19562001e-02
 1.09090046e+01    9.00737240e-03
 1.09243071e+01    6.69871482e-03
 1.09396096e+01    5.05204665e-03
 1.09549121e+01    3.90017551e-03
 1.09702146e+01    3.08688747e-03
 1.09855171e+01    2.50158206e-03
 1.10008196e+01    2.07141238e-03
 1.10161222e+01    1.74900464e-03
 1.10314247e+01    1.50328180e-03
 1.10467272e+01    1.31352846e-03
 1.10620297e+01    1.16570003e-03
 1.10773322e+01    1.05013915e-03
 1.10926347e+01    9.60153466e-04
 1.11079372e+01    8.91123825e-04
 1.11232397e+01    8.39947130e-04
 1.11385422e+01    8.04699843e-04
 1.11538447e+01    7.84458779e-04
 1.11691472e+01    7.79249288e-04
 1.11844497e+01    7.90117147e-04
 1.11997522e+01    8.19346569e-04
 1.12150548e+01    8.70880117e-04
 1.12303573e+01    9.51045553e-04
 1.12456598e+01    1.06976956e-03
 1.12609623e+01    1.24255766e-03
 1.12762648e+01    1.49357142e-03
 1.12915673e+01    1.85973667e-03
 1.13068698e+01    2.39326185e-03
 1.13221723e+01    3.14944396e-03
 1.13374748e+01    4.11780047e-03
 1.13527773e+01    5.04597898e-03
 1.13680798e+01    5.37446861e-03
 1.13833823e+01    4.81993217e-03
 1.13986849e+01    3.81584469e-03
 1.14139874e+01    2.86893324e-03
 1.14292899e+01    2.15028046e-03
 1.14445924e+01    1.64123327e-03
 1.14598949e+01    1.28384397e-03
 1.14751974e+01    1.02929188e-03
 1.14904999e+01    8.43908550e-04
 1.15058024e+01    7.05652760e-04
 1.15211049e+01    6.00167900e-04
 1.15364074e+01    5.17984668e-04
 1.15517099e+01    4.52736902e-04
 1.15670124e+01    4.00053813e-04
 1.15823149e+01    3.56871244e-04
 1.15976175e+01    3.20997916e-04
 1.16129200e+01    2.90837443e-04
 1.16282225e+01    2.65206780e-04
 1.16435250e+01    2.43215352e-04
 1.16588275e+01    2.24183116e-04
 1.16741300e+01    2.07584044e-04
 1.16894325e+01    1.93006523e-04
 1.17047350e+01    1.80125243e-04
 1.17200375e+01    1.68681008e-04
 1.17353400e+01    1.58466186e-04
 1.17506425e+01    1.49314267e-04
 1.17659450e+01    1.41092614e-04
 1.17812476e+01    1.33697906e-04
 1.17965501e+01    1.27054135e-04
 1.18118526e+01    1.21113302e-04
 1.18271551e+01    1.15858565e-04
 1.18424576e+01    1.11306425e-04
 1.18577601e+01    1.07490822e-04
 1.18730626e+01    1.04371826e-04
 1.18883651e+01    1.01584986e-04
 1.19036676e+01    9.82848776e-05
 1.19189701e+01    9.39178320e-05
 1.19342726e+01    8.90246947e-05
 1.19495751e+01    8.43808070e-05
 1.19648776e+01    8.02704432e-05
 1.19801802e+01    7.66640333e-05
 1.19954827e+01    7.34601919e-05
 1.20107852e+01    7.05696831e-05
 1.20260877e+01    6.79275917e-05
 1.20413902e+01    6.54883559e-05
 1.20566927e+01    6.32195736e-05
 1.20719952e+01    6.10974938e-05
 1.20872977e+01    5.91040947e-05
 1.21026002e+01    5.72252404e-05
 1.21179027e+01    5.54495112e-05
 1.21332052e+01    5.37674474e-05
 1.21485077e+01    5.21710486e-05
 1.21638103e+01    5.06534328e-05
 1.21791128e+01    4.92085978e-05
 1.21944153e+01    4.78312497e-05
 1.22097178e+01    4.65166763e-05
 1.22250203e+01    4.52606517e-05
 1.22403228e+01    4.40593624e-05
 1.22556253e+01    4.29093485e-05
 1.22709278e+01    4.18074576e-05
 1.22862303e+01    4.07508060e-05
 1.23015328e+01    3.97367470e-05
 1.23168353e+01    3.87628449e-05
 1.23321378e+01    3.78268517e-05
 1.23474403e+01    3.69266883e-05
 1.23627429e+01    3.60604275e-05
 1.23780454e+01    3.52262798e-05
 1.23933479e+01    3.44225804e-05
 1.24086504e+01    3.36477780e-05
 1.24239529e+01    3.29004252e-05
 1.24392554e+01    3.21791694e-05
 1.24545579e+01    3.14827448e-05
 1.24698604e+01    3.08099659e-05
 1.24851629e+01    3.01597204e-05
 1.25004654e+01    2.95309642e-05
 1.25157679e+01    2.89227155e-05
 1.25310704e+01    2.83340509e-05
 1.25463730e+01    2.77641003e-05
 1.25616755e+01    2.72120439e-05
 1.25769780e+01    2.66771080e-05
 1.25922805e+01    2.61585617e-05
 1.26075830e+01    2.56557147e-05
 1.26228855e+01    2.51679138e-05
 1.26381880e+01    2.46945406e-05
 1.26534905e+01    2.42350096e-05
 1.26687930e+01    2.37887656e-05
 1.26840955e+01    2.33552819e-05
 1.26993980e+01    2.29340587e-05
 1.27147005e+01    2.25246209e-05
 1.27300030e+01    2.21265174e-05
 1.27453056e+01    2.17393189e-05
 1.27606081e+01    2.13626170e-05
 1.27759106e+01    2.09960226e-05
 1.27912131e+01    2.06391653e-05
 1.28065156e+01    2.02916920e-05
 1.28218181e+01    1.99532657e-05
 1.28371206e+01    1.96235650e-05
 1.28524231e+01    1.93022830e-05
 1.28677256e+01    1.89891266e-05
 1.28830281e+01    1.86838157e-05
 1.28983306e+01    1.83860825e-05
 1.29136331e+01    1.80956706e-05
 1.29289357e+01    1.78123351e-05
 1.29442382e+01    1.75358410e-05
 1.29595407e+01    1.72659637e-05
 1.29748432e+01    1.70024876e-05
 1.29901457e+01    1.67452062e-05
 1.30054482e+01    1.64939215e-05
 1.30207507e+01    1.62484434e-05
 1.30360532e+01    1.60085896e-05
 1.30513557e+01    1.57741850e-05
 1.30666582e+01    1.55450614e-05
 1.30819607e+01    1.53210572e-05
 1.30972632e+01    1.51020171e-05
 1.31125657e+01    1.48877917e-05
 1.31278683e+01    1.46782374e-05
 1.31431708e+01    1.44732160e-05
 1.31584733e+01    1.42725945e-05
 1.31737758e+01    1.40762447e-05
 1.31890783e+01    1.38840433e-05
 1.32043808e+01    1.36958715e-05
 1.32196833e+01    1.35116148e-05
 1.32349858e+01    1.33311626e-05
 1.32502883e+01    1.31544087e-05
 1.32655908e+01    1.29812502e-05
 1.32808933e+01    1.28115881e-05
 1.32961958e+01    1.26453268e-05
 1.33114984e+01    1.24823739e-05
 1.33268009e+01    1.23226403e-05
 1.33421034e+01    1.21660399e-05
 1.33574059e+01    1.20124895e-05
 1.33727084e+01    1.18619086e-05
 1.33880109e+01    1.17142196e-05
